text,user_location,target
COVID Update: The infection rate in Florida is following the natural curve that experts predicted if the initial cu… https://t.co/hmEwE747WK,"Florida, USA",1
#FEMA acknowledges #PuertoRico lacks rebuilt homes and a hospital to survive #COVID19  https://t.co/PLXqKc5K5d,United States,2
"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/bfel6gyXIq",USA,0
"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/eu5g2djZYx","Baton Rouge, USA",0
"See this Instagram post by @facts.covid19 https://t.co/glmd51L1OJ 
facts.covid19 Deaths rates not rising in lockste… https://t.co/SeZieeSxAk","New York, NY USA",2
"Concealed Nation 1 Million Giveaway https://t.co/HaMym0cBe3 
I put my family's safety before all others, criminals… https://t.co/7QQxVLWqZd","Pennsylvania, USA",1
Four mayors reflect on their evolving response to the coronavirus pandemic https://t.co/TMqFfkPjcC  👈 click the lin… https://t.co/ZmqzTU7Nsv,"California, USA",2
"@princesscaro85 @NVGOP @marquezjesso @andylukechoi @FlocchiniAmanda @LaCubanaMisfit You should know better. Trump,… https://t.co/mEmjKjB4eN",USA,1
How about everyone can spread #COVID19. Another study not accurate! https://t.co/8h5OC3AzYq,United States,2
"#AR State Sen. Jason Rapert Preached at a Mask-Free Church; Now He Has COVID https://t.co/J9rcqicIHc 
I'm sorry--is… https://t.co/A6dvDYcP7i","Florida, USA",2
"Due to the epidemic I'm giving $80 - $1000 to any person out there looking, it might not be able to go round but i… https://t.co/BfX03CbW6F",United States,1
"Big Q: Parents: if you have flexibility to work from home or send your child to school, what would data/information… https://t.co/tw7Dz1V0OG","Texas, USA",1
Symptom Duration and Risk Factors for Delayed Return to Usual Health Among Outpatients with #COVID19 in a Multistat… https://t.co/wNUL5Bd5Ok,Baltimore MD USA,0
#COVID19 is the religion of 21st Century Jews fighting 21st Century Christian Evangelicals,"Massachusetts, USA",0
"National and state impact of #COVID19 on our elder population. This is a societal loss of wisdom, history, and of s… https://t.co/4gaIfWiDcB",United States,1
Cautious optimism? Arizona May be plateauing with #COVID19   Potential good news.  https://t.co/j20GOpHK04,"Massachusetts, USA",1
"Three Cs is a term I hadn’t heard before. Good advice. 

#GoodAdvice 
#COVID19 https://t.co/ykSvJbILKP",United States,1
Great to be with @ABC7Robert yesterday on @ABC7GMW #SocialDistancing #BBQ #COVID19 #COVID19 https://t.co/XSi0CvTSga,United States,1
"Sad Reality: Hundreds of Cars line up drive thru Food Drive in Florida https://t.co/3pQoULuznu  

#COVID19","Florida, USA",0
"@LiamMcBaen They say, ""One is the loneliest number,"" anyway. 

#WearAMask #realmenwearmasks #toughguyswearmasks… https://t.co/sPEAaY1LXJ",USA,0
